DATAFLOW,LAST UPDATE,freq,nace_r2,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,M,AT,2023,152.5,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,M,BA,2023,24.1,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,M,BE,2023,192.9,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,M,BG,2023,91.4,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,M,CH,2023,211.2,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,M,CY,2023,17.1,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,M,CZ,2023,194.4,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,M,DE,2023,1660.1,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,M,DK,2023,126.6,b
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,M,EE,2023,27.0,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,M,EL,2023,88.6,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,M,ES,2023,617.9,d
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,M,FI,2023,123.9,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,M,FR,2023,860.9,d
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,M,HR,2023,49.9,b
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,M,HU,2023,176.5,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,M,IE,2023,177.5,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,M,IS,2023,8.5,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,M,IT,2023,697.5,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,M,LT,2023,45.9,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,M,LU,2023,13.7,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,M,LV,2023,29.1,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,M,MT,2023,13.7,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,M,NL,2023,400.2,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,M,NO,2023,99.7,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,M,PL,2023,494.4,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,M,PT,2023,137.5,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,M,RO,2023,151.9,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,M,RS,2023,87.3,b
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,M,SE,2023,256.8,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,M,SI,2023,34.1,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,M,SK,2023,85.7,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,M,TR,2023,300.2,
