DATAFLOW,LAST UPDATE,freq,nace_r2,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,T,AT,2023,226.1,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,T,BA,2023,37.1,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,T,BE,2023,276.1,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,T,BG,2023,150.3,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,T,CH,2023,305.8,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,T,CY,2023,26.8,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,T,CZ,2023,273.4,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,T,DE,2023,2458.1,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,T,DK,2023,192.1,b
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,T,EE,2023,45.4,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,T,EL,2023,142.2,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,T,ES,2023,924.7,d
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,T,FI,2023,176.2,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,T,FR,2023,1320.8,d
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,T,HR,2023,76.1,b
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,T,HU,2023,292.2,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,T,IE,2023,267.3,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,T,IS,2023,12.7,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,T,IT,2023,1005.6,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,T,LT,2023,70.9,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,T,LU,2023,18.9,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,T,LV,2023,46.3,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,T,MT,2023,19.3,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,T,NL,2023,542.6,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,T,NO,2023,144.2,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,T,PL,2023,743.7,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,T,PT,2023,216.3,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,T,RO,2023,246.2,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,T,RS,2023,139.9,b
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,T,SE,2023,363.1,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,T,SI,2023,55.0,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,T,SK,2023,129.1,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,T,TR,2023,440.2,
