DATAFLOW,LAST UPDATE,freq,nace_r2,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,F,AT,2023,73.6,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,F,BA,2023,13.0,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,F,BE,2023,83.2,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,F,BG,2023,59.0,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,F,CH,2023,94.6,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,F,CY,2023,9.6,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,F,CZ,2023,79.0,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,F,DE,2023,798.0,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,F,DK,2023,65.5,b
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,F,EE,2023,18.5,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,F,EL,2023,53.6,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,F,ES,2023,306.8,d
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,F,FI,2023,52.3,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,F,FR,2023,459.9,d
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,F,HR,2023,26.2,b
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,F,HU,2023,115.7,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,F,IE,2023,89.9,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,F,IS,2023,4.2,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,F,IT,2023,308.2,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,F,LT,2023,25.0,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,F,LU,2023,5.2,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,F,LV,2023,17.2,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,F,MT,2023,5.6,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,F,NL,2023,142.4,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,F,NO,2023,44.5,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,F,PL,2023,249.3,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,F,PT,2023,78.9,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,F,RO,2023,94.3,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,F,RS,2023,52.7,b
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,F,SE,2023,106.3,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,F,SI,2023,21.0,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,F,SK,2023,43.4,
ESTAT:HTEC_EMP_REG2(1.0),24/04/24 23:00:00,A,HTC,THS_PER,F,TR,2023,140.0,
